"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","VALUE","VALUE_PART",
"1","","ATTINY1634SOIC","SO-20DW","U3","ATtiny1634 8 bit AVR Microcontroller","ATTINY1634-SURCT-ND","","Atmel","ATTINY1634-SUR","","",
"2","0.1uF","C-EU0.1UFC0402","C0402","C11, C12","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","",
"2","0.1uF","C-EU0.1UFC0603","C0603","C6, C8","CAPACITOR, European symbol","490-6051-1-ND","","Murata","GCM188R71E104KA57D","","",
"1","1.62M","R-EU_1.62MR0603","R0603","R7","RESISTOR, European symbol","RMCF0603FT1M62CT-ND","","Stackpole","RMCF0603FT1M62","","1.62M",
"5","10k","R-EU_10KR0603","R0603","R3, R4, R5, R6, R9","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","10k",
"2","10pF","C-EU10PFC0603","C0603","C2, C5","CAPACITOR, European symbol","311-1058-1-ND","","Yageo","CC0603JRNPO9BN100CC0603JRNPO9BN100","","",
"3","10uF","C-EU10UFC0805","C0805","C3, C4, C7","CAPACITOR, European symbol","490-6473-6-ND","","Murata","GRM21BR61C106KE15K","","",
"1","180k","R-EU_180KR0603","R0603","R8","RESISTOR, European symbol","P180KHCT-ND","","Panasonic","ERJ-3EKF1803V","","180k",
"1","1k","R-EU_1KR0603","R0603","R11","RESISTOR, European symbol","311-1KLDCT-ND","","Yageo","AC0603FR-071KL","","1k",
"2","1uF","C-EU1UFC0603","C0603","C9, C10","CAPACITOR, European symbol","490-10479-1-ND","","Murata","GRM188R61C105KA12D","","",
"2","2N7002","MOSFET-NCH-2N7002P","SOT23-3","Q1, Q2","N-channel MOSFETs","1727-4692-1-ND","","Nexperia","2N7002P","215","2N7002",
"1","330","R-EU_330R0603","R0603","R10","RESISTOR, European symbol","311-330HRCT-ND","","Yageo","RC0603FR-07330RL","","330",
"2","4.7k","R-EU_4.7KR0603","R0603","R1, R2","RESISTOR, European symbol","311-4.70KHRCT-ND","","Yageo","RC0603FR-074K7L","","4.7k",
"1","6.8uH","INDUCTOR1008","1008","L1","Genaric inductor","732-4849-1-ND","","Wurth","74438323068","","",
"1","680uF","CPOL-EUUW-10X10","UW-10X10_NICHICON","C1","POLARIZED CAPACITOR, European symbol","493-2182-1-ND","","Nichicon","UWT1C681MNL1GS","","",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP1","AVR ISP HEADER","","","","","","",
"1","CONN_42.54_SCREW","CONN_42.54_SCREW","1X04_SCREW","J2","Genaric 4 terminal header","ED10563-ND","","On Shore","OSTVN04A150","","",
"1","CONN_6SCREW_2.54","CONN_6SCREW_2.54","1X06_SCREW","J1","Genaric 6 terminal header","ED10565-ND","","OnShore","OSTVN06A150","","",
"1","CRYSTAL_SHIELD3.2X2.5","CRYSTAL_SHIELD3.2X2.5","CRYSTAL_3.2X2.5_4-SMD","XTAL1","Crystal Oscilator w/Shield","535-10901-1-ND","","Abricon","ABM8G-12.000MHZ-4Y-T3","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q3","N-channel MOSFETs","DMG3404L-7DICT-ND","","Diodes Incorporated","DMG3404L-7","DMG3404","",
"1","LED0603","LED0603","LED_0603","D1","Genaric LED","732-4978-1-ND","","Wurth","150060RS75000","","",
"1","LIS3DHLGA","LIS3DHLGA","LGA-16","U4","LIS3DH -  Ultra-low-power High-performance 3-axis Digital Accelerometer (I2C/SPI)","497-10613-1-ND","","ST","LIS3DHTR","","",
"1","MIC53653.3SC70","MIC53653.3SC70","DCK_R-PDSO-G5","U5","MIC5365-* - Low Power, High Performance, Linear Regulator","576-3193-1-ND","","Microchip","MIC5365-3.3YC5-TR","","",
"1","MOSFET_PCH-NX2301P","MOSFET_PCH-NX2301P","SOT23-3","Q4","P-channel MOSFETs","1727-1148-1-ND","","Nexperia","NX2301P","215","",
"1","SWITCH_DPDTJS_GULLWING","SWITCH_DPDTJS_GULLWING","JS202011SCQN","S1","Genric DPDT Switch","401-2002-1-ND","","C&K","JS202011SCQN","","",
"1","TCS40DPRSOT23","TCS40DPRSOT23","SOT23-3","U2","Hall Effect Sensor (TCS40DPR)","TCS40DPRLFCT-ND","TCS40DPR","Toshiba","TCS40DPR","LF","",
"1","TLV61220DBV","TLV61220DBV","DBV_R-PDSO-G6","U1","TLV61220 - Low-Input Voltage Step-Up Converter (Boost)","296-30547-1-ND","","TI","TLV61220DBVR","","",
"1","TXS0102DQM","TXS0102DQM","DQM_R-PX2SON-N8","U6","TXS0102 - 2 Channel Bidirectional Voltage Level Translator","296-28435-1-ND","","TI","TXS0102DQMR","","",
